cell,nCounts,nFeatures
R1.15.R2.63.R3.13.P1.39,1071,1052
R1.15.R2.63.R3.58.P1.40,761,756
R1.15.R2.63.R3.74.P1.39,864,847
R1.15.R2.73.R3.88.P1.39,748,736
R1.15.R2.80.R3.58.P1.40,1799,1762
R1.15.R2.80.R3.72.P1.40,668,664
R1.15.R2.86.R3.46.P1.39,645,633
R1.15.R2.88.R3.47.P1.39,605,593
R1.15.R2.90.R3.45.P1.40,676,667
R1.16.R2.11.R3.33.P1.39,386,379
R1.16.R2.13.R3.43.P1.39,456,450
R1.16.R2.13.R3.65.P1.39,3024,2929
R1.16.R2.16.R3.40.P1.40,808,797
R1.16.R2.17.R3.13.P1.40,1042,1032
R1.16.R2.17.R3.74.P1.40,500,495
R1.16.R2.22.R3.54.P1.39,628,611
R1.16.R2.24.R3.69.P1.39,1030,1016
R1.16.R2.26.R3.89.P1.39,645,643
R1.16.R2.36.R3.29.P1.40,1625,1606
R1.16.R2.40.R3.35.P1.40,1185,1166
R1.16.R2.55.R3.62.P1.40,558,553
R1.16.R2.57.R3.58.P1.40,1223,1210
R1.16.R2.60.R3.60.P1.40,980,966
R1.16.R2.61.R3.56.P1.40,829,814
R1.16.R2.70.R3.80.P1.40,603,599
R1.16.R2.71.R3.28.P1.39,593,582
R1.16.R2.72.R3.36.P1.39,2600,2549
R1.16.R2.78.R3.72.P1.39,1009,991
R1.16.R2.79.R3.04.P1.40,1568,1541
R1.16.R2.86.R3.46.P1.39,634,625
R1.16.R2.91.R3.70.P1.39,2027,1992
R1.16.R2.96.R3.77.P1.39,595,587
R1.17.R2.03.R3.30.P1.39,1010,977
R1.17.R2.07.R3.48.P1.39,474,473
R1.17.R2.08.R3.29.P1.40,742,735
R1.17.R2.08.R3.70.P1.39,949,937
R1.17.R2.10.R3.37.P1.40,1351,1321
R1.17.R2.11.R3.50.P1.39,1028,1013
R1.17.R2.19.R3.32.P1.39,1265,1238
R1.17.R2.21.R3.19.P1.39,1874,1826
R1.17.R2.21.R3.66.P1.39,2449,2353
R1.17.R2.22.R3.38.P1.40,727,713
R1.17.R2.27.R3.58.P1.39,1184,1163
R1.17.R2.30.R3.46.P1.40,532,525
R1.17.R2.30.R3.79.P1.39,1028,1015
R1.17.R2.37.R3.88.P1.39,1270,1251
R1.17.R2.39.R3.22.P1.40,686,682
R1.17.R2.48.R3.53.P1.39,1121,1106
R1.17.R2.49.R3.42.P1.39,1871,1803
R1.17.R2.59.R3.45.P1.39,714,697
R1.17.R2.60.R3.53.P1.40,345,343
R1.17.R2.61.R3.55.P1.40,703,697
R1.17.R2.69.R3.61.P1.39,1112,1094
R1.17.R2.76.R3.10.P1.39,609,605
R1.17.R2.78.R3.35.P1.39,799,789
R1.17.R2.82.R3.08.P1.39,747,733
R1.17.R2.82.R3.19.P1.39,1512,1467
R1.17.R2.83.R3.56.P1.39,891,882
R1.17.R2.83.R3.77.P1.39,804,789
R1.17.R2.85.R3.14.P1.39,603,589
R1.17.R2.86.R3.57.P1.39,885,877
R1.17.R2.89.R3.35.P1.40,1609,1565
R1.17.R2.93.R3.10.P1.40,618,602
R1.17.R2.93.R3.95.P1.39,646,640
R1.18.R2.02.R3.32.P1.39,523,517
R1.18.R2.03.R3.59.P1.39,920,905
R1.18.R2.04.R3.07.P1.39,1810,1727
R1.18.R2.04.R3.16.P1.39,540,538
R1.18.R2.04.R3.26.P1.40,664,657
R1.18.R2.09.R3.05.P1.40,1863,1802
R1.18.R2.12.R3.84.P1.40,2600,2502
R1.18.R2.22.R3.33.P1.39,2732,2670
R1.18.R2.33.R3.22.P1.39,2046,1981
R1.18.R2.33.R3.82.P1.39,1826,1796
R1.18.R2.41.R3.70.P1.40,1293,1260
R1.18.R2.42.R3.01.P1.39,2185,2151
R1.18.R2.46.R3.22.P1.39,2436,2371
R1.18.R2.55.R3.66.P1.39,513,510
R1.18.R2.57.R3.87.P1.40,614,603
R1.18.R2.59.R3.15.P1.40,713,699
R1.18.R2.61.R3.28.P1.39,2970,2910
R1.18.R2.63.R3.23.P1.39,533,524
R1.18.R2.64.R3.22.P1.39,1135,1125
R1.18.R2.68.R3.52.P1.40,870,864
R1.18.R2.69.R3.32.P1.39,1229,1207
R1.18.R2.78.R3.23.P1.40,3000,2919
R1.18.R2.79.R3.49.P1.40,790,777
R1.18.R2.83.R3.44.P1.40,672,661
R1.18.R2.84.R3.27.P1.40,1532,1505
R1.18.R2.86.R3.69.P1.39,907,887
R1.19.R2.01.R3.78.P1.39,758,744
R1.19.R2.02.R3.85.P1.39,1140,1123
R1.19.R2.09.R3.65.P1.39,1013,1000
R1.19.R2.13.R3.82.P1.40,972,941
R1.19.R2.16.R3.23.P1.39,1153,1138
R1.19.R2.17.R3.69.P1.39,550,544
R1.19.R2.19.R3.09.P1.40,650,641
R1.19.R2.22.R3.46.P1.40,669,661
R1.19.R2.27.R3.82.P1.40,1634,1602
R1.19.R2.34.R3.67.P1.39,803,797
R1.19.R2.36.R3.05.P1.39,3539,3424
R1.19.R2.38.R3.52.P1.40,873,870
R1.19.R2.54.R3.74.P1.40,10078,9366
R1.19.R2.57.R3.12.P1.39,1139,1113
R1.19.R2.63.R3.81.P1.39,1418,1382
R1.19.R2.65.R3.42.P1.39,1385,1356
R1.19.R2.68.R3.90.P1.40,3987,3802
R1.19.R2.69.R3.85.P1.40,1160,1139
R1.19.R2.73.R3.71.P1.39,760,747
R1.19.R2.78.R3.71.P1.39,1127,1119
R1.19.R2.91.R3.51.P1.39,915,904
R1.19.R2.96.R3.37.P1.39,3020,2948
R1.19.R2.96.R3.87.P1.39,546,536
R1.20.R2.02.R3.78.P1.40,1087,1069
R1.20.R2.06.R3.20.P1.39,1860,1775
R1.20.R2.08.R3.20.P1.39,3456,3258
R1.20.R2.09.R3.68.P1.39,1915,1868
R1.20.R2.10.R3.41.P1.39,399,395
R1.20.R2.12.R3.02.P1.40,935,926
R1.20.R2.12.R3.18.P1.39,1533,1505
R1.20.R2.14.R3.61.P1.40,1844,1814
R1.20.R2.16.R3.90.P1.39,762,744
R1.20.R2.17.R3.51.P1.39,5028,4778
R1.20.R2.20.R3.40.P1.39,859,848
R1.20.R2.20.R3.52.P1.39,585,580
R1.20.R2.22.R3.59.P1.39,7932,7530
R1.20.R2.27.R3.67.P1.40,919,912
R1.20.R2.29.R3.22.P1.39,1244,1219
R1.20.R2.29.R3.36.P1.40,466,459
R1.20.R2.42.R3.26.P1.40,1293,1278
R1.20.R2.46.R3.79.P1.40,1574,1555
R1.20.R2.49.R3.45.P1.40,1233,1219
R1.20.R2.51.R3.44.P1.40,657,648
R1.20.R2.63.R3.16.P1.40,1493,1450
R1.20.R2.66.R3.83.P1.39,904,889
R1.20.R2.68.R3.71.P1.40,1190,1171
R1.20.R2.73.R3.48.P1.40,619,611
R1.20.R2.78.R3.12.P1.39,4829,4654
R1.20.R2.79.R3.05.P1.40,2276,2220
R1.20.R2.85.R3.19.P1.39,1057,1043
R1.20.R2.88.R3.54.P1.39,2774,2708
