cell,nCounts,nFeatures
"R1.37,R2.70,R3.43,P1.02",4183,3993
"R1.39,R2.38,R3.79,P1.02",2457,2410
"R1.55,R2.79,R3.44,P1.02",2302,2241
"R1.38,R2.52,R3.78,P1.03",2612,2545
"R1.58,R2.92,R3.74,P1.03",2130,2094
"R1.46,R2.01,R3.76,P1.02",8822,8115
"R1.14,R2.25,R3.15,P1.02",914,903
"R1.24,R2.37,R3.60,P1.02",4645,4429
"R1.62,R2.26,R3.51,P1.02",2781,2686
"R1.27,R2.18,R3.04,P1.03",3337,3222
"R1.03,R2.22,R3.16,P1.02",3335,3212
"R1.39,R2.27,R3.81,P1.03",9060,8218
"R1.23,R2.85,R3.24,P1.02",2225,2180
"R1.20,R2.30,R3.84,P1.03",5686,5352
"R1.72,R2.68,R3.29,P1.03",2424,2346
"R1.33,R2.22,R3.24,P1.02",2657,2572
"R1.84,R2.69,R3.36,P1.02",3677,3547
"R1.01,R2.25,R3.45,P1.02",2491,2433
"R1.85,R2.39,R3.45,P1.03",5463,5213
"R1.50,R2.06,R3.07,P1.03",6673,6334
"R1.88,R2.79,R3.91,P1.03",4508,4299
"R1.14,R2.12,R3.92,P1.02",4559,4377
"R1.16,R2.59,R3.41,P1.03",5836,5484
"R1.70,R2.53,R3.23,P1.03",2207,2135
"R1.94,R2.01,R3.02,P1.03",5331,5089
"R1.09,R2.23,R3.18,P1.02",3719,3594
"R1.30,R2.89,R3.05,P1.02",1908,1875
"R1.39,R2.43,R3.43,P1.02",2327,2279
"R1.60,R2.36,R3.15,P1.02",2378,2299
"R1.75,R2.91,R3.52,P1.02",1197,1187
"R1.79,R2.05,R3.17,P1.03",4844,4675
"R1.14,R2.69,R3.83,P1.03",3079,2961
"R1.41,R2.39,R3.81,P1.02",3321,3183
"R1.64,R2.68,R3.17,P1.02",3516,3383
"R1.66,R2.24,R3.34,P1.02",2095,2043
"R1.84,R2.89,R3.42,P1.03",1970,1928
"R1.18,R2.23,R3.25,P1.03",2037,1981
"R1.23,R2.24,R3.15,P1.03",4319,4142
"R1.32,R2.29,R3.56,P1.03",2209,2135
"R1.57,R2.82,R3.32,P1.03",3091,2969
"R1.43,R2.76,R3.15,P1.03",7052,6485
"R1.54,R2.83,R3.44,P1.02",1017,999
"R1.32,R2.20,R3.42,P1.03",3937,3786
"R1.40,R2.14,R3.34,P1.03",13605,12092
"R1.19,R2.36,R3.85,P1.03",1379,1361
"R1.82,R2.29,R3.36,P1.03",8271,7678
"R1.17,R2.29,R3.10,P1.02",5515,5189
"R1.59,R2.71,R3.71,P1.03",4917,4634
"R1.94,R2.30,R3.13,P1.02",3477,3365
"R1.10,R2.41,R3.04,P1.03",2816,2728
"R1.12,R2.91,R3.63,P1.03",3570,3443
"R1.42,R2.04,R3.04,P1.03",16975,14383
"R1.67,R2.79,R3.44,P1.03",2875,2822
"R1.85,R2.32,R3.36,P1.03",16339,13882
"R1.51,R2.44,R3.09,P1.03",4892,4646
"R1.76,R2.09,R3.24,P1.03",2704,2627
"R1.53,R2.13,R3.23,P1.03",26516,20843
"R1.69,R2.38,R3.93,P1.02",2582,2517
