cell,nCounts,nFeatures
"R1.45,R2.95,R3.38,P1.33",1015,1002
"R1.43,R2.75,R3.05,P1.37",931,918
"R1.40,R2.23,R3.23,P1.34",1829,1779
"R1.53,R2.49,R3.67,P1.36",1957,1898
"R1.51,R2.43,R3.05,P1.31",1288,1264
"R1.44,R2.30,R3.61,P1.34",1056,1039
"R1.35,R2.80,R3.20,P1.35",2232,2150
"R1.38,R2.13,R3.33,P1.34",812,803
"R1.62,R2.14,R3.70,P1.37",2817,2683
"R1.61,R2.17,R3.93,P1.34",1133,1117
"R1.53,R2.05,R3.38,P1.31",1002,991
"R1.34,R2.27,R3.78,P1.31",3182,3037
"R1.49,R2.18,R3.17,P1.36",1654,1618
"R1.49,R2.40,R3.84,P1.33",6114,5542
"R1.52,R2.39,R3.14,P1.34",5569,5112
"R1.47,R2.05,R3.38,P1.37",1320,1280
"R1.46,R2.28,R3.23,P1.35",1995,1914
"R1.50,R2.21,R3.14,P1.36",5392,4947
"R1.36,R2.90,R3.07,P1.35",3215,3056
"R1.35,R2.61,R3.88,P1.31",7644,6865
"R1.50,R2.13,R3.46,P1.34",1015,1004
"R1.44,R2.81,R3.01,P1.37",660,656
"R1.40,R2.48,R3.51,P1.37",5913,5349
"R1.60,R2.66,R3.61,P1.35",2213,2131
"R1.55,R2.83,R3.51,P1.33",2348,2275
"R1.50,R2.44,R3.36,P1.33",1265,1233
"R1.35,R2.30,R3.42,P1.34",1741,1696
"R1.53,R2.40,R3.29,P1.33",922,908
"R1.41,R2.03,R3.74,P1.31",1076,1061
"R1.37,R2.17,R3.01,P1.37",1317,1286
"R1.35,R2.64,R3.60,P1.33",1508,1465
"R1.64,R2.78,R3.92,P1.31",2265,2192
"R1.55,R2.27,R3.34,P1.33",3329,3195
"R1.37,R2.42,R3.65,P1.33",6598,5923
"R1.51,R2.56,R3.20,P1.34",2543,2447
"R1.52,R2.13,R3.51,P1.36",2404,2315
"R1.41,R2.38,R3.46,P1.34",9402,8245
"R1.33,R2.06,R3.57,P1.37",4712,4416
"R1.64,R2.78,R3.14,P1.34",1078,1063
"R1.42,R2.13,R3.15,P1.35",14330,11731
"R1.61,R2.41,R3.83,P1.35",2274,2204
"R1.59,R2.08,R3.81,P1.36",1253,1224
"R1.52,R2.52,R3.61,P1.31",1942,1875
"R1.59,R2.21,R3.41,P1.34",3904,3668
"R1.50,R2.42,R3.21,P1.34",1212,1179
"R1.37,R2.47,R3.04,P1.36",1074,1044
"R1.57,R2.44,R3.61,P1.34",1591,1540
"R1.52,R2.11,R3.65,P1.33",1824,1789
"R1.64,R2.05,R3.55,P1.35",642,625
"R1.34,R2.88,R3.91,P1.33",960,945
"R1.34,R2.18,R3.13,P1.37",558,555
"R1.54,R2.40,R3.04,P1.31",2320,2233
"R1.49,R2.04,R3.49,P1.31",1207,1182
"R1.34,R2.80,R3.33,P1.31",355,353
"R1.43,R2.49,R3.01,P1.33",1142,1113
"R1.33,R2.69,R3.62,P1.37",2669,2541
"R1.60,R2.15,R3.93,P1.36",5991,5528
"R1.33,R2.74,R3.09,P1.35",815,798
"R1.58,R2.78,R3.45,P1.36",2605,2502
"R1.44,R2.93,R3.02,P1.36",6436,5853
"R1.43,R2.17,R3.47,P1.36",5209,4764
"R1.54,R2.33,R3.56,P1.37",2206,2118
"R1.63,R2.56,R3.41,P1.37",1570,1530
"R1.36,R2.57,R3.64,P1.31",4981,4617
"R1.48,R2.72,R3.85,P1.35",2248,2174
"R1.44,R2.10,R3.24,P1.31",4318,4061
"R1.62,R2.49,R3.96,P1.37",1790,1753
"R1.41,R2.48,R3.07,P1.37",745,734
"R1.55,R2.51,R3.67,P1.35",1548,1505
"R1.54,R2.69,R3.61,P1.37",1305,1271
"R1.52,R2.66,R3.28,P1.36",2995,2847
"R1.60,R2.52,R3.19,P1.36",1499,1460
"R1.64,R2.26,R3.67,P1.35",2274,2188
"R1.56,R2.64,R3.90,P1.36",1427,1391
"R1.54,R2.43,R3.48,P1.36",6731,6147
"R1.54,R2.83,R3.92,P1.33",7486,6730
"R1.61,R2.57,R3.48,P1.35",1707,1663
"R1.58,R2.63,R3.41,P1.35",976,956
"R1.46,R2.42,R3.09,P1.36",1068,1050
"R1.43,R2.47,R3.37,P1.36",1789,1733
"R1.33,R2.68,R3.26,P1.33",1730,1698
"R1.52,R2.06,R3.16,P1.36",1562,1522
"R1.44,R2.32,R3.59,P1.34",3351,3186
"R1.56,R2.25,R3.64,P1.36",2767,2678
"R1.53,R2.81,R3.08,P1.36",1549,1506
"R1.42,R2.87,R3.87,P1.33",2175,2094
"R1.59,R2.09,R3.59,P1.35",491,489
"R1.54,R2.22,R3.68,P1.31",1848,1793
"R1.63,R2.69,R3.20,P1.36",2590,2460
"R1.60,R2.27,R3.18,P1.31",4169,3910
"R1.46,R2.85,R3.93,P1.36",7796,6959
"R1.63,R2.18,R3.64,P1.35",1670,1613
"R1.34,R2.67,R3.64,P1.36",4144,3911
"R1.61,R2.72,R3.20,P1.33",2464,2387
"R1.50,R2.24,R3.14,P1.36",1007,985
"R1.39,R2.05,R3.48,P1.34",4899,4535
"R1.63,R2.40,R3.54,P1.36",1309,1269
"R1.64,R2.61,R3.13,P1.35",2011,1935
"R1.63,R2.60,R3.46,P1.35",1293,1266
"R1.42,R2.19,R3.91,P1.36",2434,2348
"R1.45,R2.77,R3.17,P1.34",4617,4368
"R1.35,R2.43,R3.33,P1.34",1851,1793
"R1.61,R2.27,R3.54,P1.32",379,377
"R1.61,R2.24,R3.39,P1.36",4026,3760
"R1.49,R2.28,R3.23,P1.36",540,533
"R1.58,R2.50,R3.43,P1.36",1967,1917
"R1.40,R2.63,R3.08,P1.35",1637,1585
"R1.61,R2.16,R3.12,P1.31",1159,1138
"R1.49,R2.47,R3.60,P1.33",1777,1738
"R1.56,R2.31,R3.53,P1.36",2137,2071
"R1.51,R2.74,R3.78,P1.32",825,810
"R1.60,R2.54,R3.27,P1.35",2784,2669
"R1.52,R2.48,R3.29,P1.34",1227,1204
"R1.37,R2.33,R3.22,P1.36",974,959
"R1.44,R2.81,R3.79,P1.36",1436,1396
"R1.48,R2.08,R3.44,P1.37",751,735
"R1.55,R2.43,R3.10,P1.36",1373,1340
"R1.44,R2.72,R3.20,P1.34",6120,5658
"R1.57,R2.60,R3.73,P1.33",1790,1741
"R1.51,R2.52,R3.18,P1.31",783,773
"R1.50,R2.04,R3.60,P1.35",2822,2690
"R1.55,R2.11,R3.01,P1.32",268,266
"R1.60,R2.36,R3.27,P1.37",2856,2738
"R1.50,R2.47,R3.41,P1.36",1264,1229
"R1.46,R2.09,R3.34,P1.33",2154,2082
"R1.51,R2.53,R3.19,P1.33",1842,1763
"R1.49,R2.01,R3.12,P1.37",2483,2395
"R1.46,R2.68,R3.81,P1.37",1009,989
"R1.63,R2.50,R3.80,P1.36",714,700
"R1.37,R2.05,R3.23,P1.33",694,688
"R1.43,R2.24,R3.73,P1.34",1294,1267
"R1.42,R2.25,R3.17,P1.37",514,498
"R1.38,R2.45,R3.69,P1.36",254,248
"R1.56,R2.31,R3.11,P1.33",715,708
"R1.62,R2.41,R3.51,P1.36",6014,5522
