cell,nCounts,nFeatures
"R1.07,R2.78,R3.40,P1.40",4558,2026
"R1.07,R2.80,R3.17,P1.40",3856,1668
"R1.07,R2.83,R3.05,P1.39",3527,1805
"R1.07,R2.84,R3.34,P1.39",1824,1016
"R1.07,R2.85,R3.94,P1.40",4163,1736
"R1.07,R2.89,R3.26,P1.39",2341,1303
"R1.07,R2.89,R3.35,P1.39",4257,1839
"R1.07,R2.92,R3.08,P1.39",3194,1769
"R1.07,R2.96,R3.07,P1.40",10058,3056
"R1.08,R2.01,R3.27,P1.40",3925,1818
"R1.08,R2.01,R3.37,P1.39",3868,1714
"R1.08,R2.03,R3.21,P1.39",3673,1768
"R1.08,R2.04,R3.46,P1.39",1371,887
"R1.08,R2.04,R3.67,P1.39",2134,1263
"R1.08,R2.07,R3.38,P1.40",4004,1969
"R1.08,R2.10,R3.86,P1.40",12262,4025
"R1.08,R2.12,R3.53,P1.39",2636,1436
"R1.08,R2.13,R3.40,P1.40",1891,1094
"R1.08,R2.13,R3.53,P1.40",1142,759
"R1.08,R2.14,R3.49,P1.40",696,557
"R1.08,R2.16,R3.28,P1.39",4243,1810
"R1.08,R2.16,R3.53,P1.40",3160,1570
"R1.08,R2.16,R3.59,P1.39",5315,2167
"R1.08,R2.19,R3.89,P1.40",27620,5389
"R1.08,R2.21,R3.73,P1.39",5126,2430
"R1.08,R2.22,R3.53,P1.39",4212,2129
"R1.08,R2.23,R3.38,P1.40",3031,1622
"R1.08,R2.25,R3.90,P1.40",1849,1125
"R1.08,R2.28,R3.46,P1.39",3435,1650
"R1.08,R2.33,R3.59,P1.40",1669,999
"R1.08,R2.34,R3.08,P1.39",1781,1070
"R1.08,R2.34,R3.21,P1.40",1256,804
"R1.08,R2.36,R3.74,P1.39",9883,3527
"R1.08,R2.43,R3.39,P1.40",23362,5378
"R1.08,R2.55,R3.35,P1.40",5018,2096
"R1.08,R2.58,R3.72,P1.40",2320,1326
"R1.08,R2.59,R3.17,P1.40",374,296
"R1.08,R2.59,R3.69,P1.39",1966,1135
"R1.08,R2.63,R3.21,P1.39",7281,2842
"R1.08,R2.67,R3.03,P1.40",3844,1796
"R1.08,R2.68,R3.17,P1.40",5925,2481
"R1.08,R2.75,R3.60,P1.40",430,309
"R1.08,R2.76,R3.61,P1.40",3353,1667
"R1.08,R2.77,R3.20,P1.40",7138,2437
"R1.08,R2.78,R3.56,P1.40",2755,1376
"R1.08,R2.80,R3.71,P1.40",3919,2076
"R1.08,R2.84,R3.06,P1.39",3467,1502
"R1.08,R2.85,R3.24,P1.40",2969,1554
"R1.08,R2.92,R3.66,P1.39",3449,1729
"R1.08,R2.93,R3.64,P1.39",4851,1978
"R1.08,R2.96,R3.09,P1.39",575,432
"R1.09,R2.01,R3.64,P1.39",1330,957
"R1.09,R2.01,R3.79,P1.40",5483,2050
"R1.09,R2.04,R3.35,P1.40",5581,2506
"R1.09,R2.04,R3.93,P1.39",2739,1471
"R1.09,R2.05,R3.71,P1.40",2472,1493
"R1.09,R2.06,R3.46,P1.40",1117,745
"R1.09,R2.06,R3.58,P1.40",2129,1214
"R1.09,R2.15,R3.35,P1.39",8305,2767
"R1.09,R2.16,R3.32,P1.40",1278,818
"R1.09,R2.19,R3.15,P1.40",948,632
"R1.09,R2.23,R3.90,P1.40",4149,1713
"R1.09,R2.31,R3.46,P1.40",3450,1538
"R1.09,R2.32,R3.93,P1.39",575,426
"R1.09,R2.40,R3.36,P1.40",5043,1982
"R1.09,R2.42,R3.88,P1.39",10386,3280
"R1.09,R2.43,R3.44,P1.39",16741,4308
"R1.09,R2.45,R3.86,P1.40",2748,1421
"R1.09,R2.47,R3.03,P1.40",3567,1575
"R1.09,R2.47,R3.67,P1.40",3332,1604
"R1.09,R2.51,R3.73,P1.40",5114,2018
"R1.09,R2.55,R3.06,P1.40",983,616
"R1.09,R2.55,R3.07,P1.39",636,494
"R1.09,R2.56,R3.66,P1.40",17674,4193
"R1.09,R2.65,R3.46,P1.39",8769,3589
"R1.09,R2.66,R3.29,P1.39",5391,2174
"R1.09,R2.70,R3.70,P1.40",9098,2890
"R1.09,R2.75,R3.28,P1.40",9188,3358
"R1.09,R2.76,R3.45,P1.40",913,642
"R1.09,R2.81,R3.59,P1.40",4387,1911
"R1.09,R2.82,R3.12,P1.39",1362,896
