cell,nCounts,nFeatures
"R1.06,R2.72,R3.68,P1.50",2574,1678
"R1.06,R2.75,R3.58,P1.50",1909,1455
"R1.06,R2.79,R3.58,P1.50",1194,987
"R1.06,R2.82,R3.65,P1.51",1773,1380
"R1.06,R2.83,R3.75,P1.50",822,707
"R1.06,R2.85,R3.89,P1.50",2305,1649
"R1.06,R2.89,R3.37,P1.50",2247,1632
"R1.06,R2.91,R3.66,P1.50",2386,1605
"R1.07,R2.02,R3.23,P1.50",2541,1803
"R1.07,R2.04,R3.45,P1.50",2836,1928
"R1.07,R2.05,R3.02,P1.50",7903,3889
"R1.07,R2.05,R3.66,P1.50",12017,4858
"R1.07,R2.06,R3.11,P1.50",1272,1042
"R1.07,R2.06,R3.47,P1.51",905,773
"R1.07,R2.06,R3.56,P1.50",2974,1988
"R1.07,R2.07,R3.47,P1.50",2020,1530
"R1.07,R2.09,R3.50,P1.51",2381,1724
"R1.07,R2.09,R3.76,P1.50",3016,2073
"R1.07,R2.10,R3.04,P1.51",323,297
"R1.07,R2.10,R3.05,P1.50",5362,3001
"R1.07,R2.10,R3.90,P1.51",760,649
"R1.07,R2.12,R3.50,P1.50",3295,2170
"R1.07,R2.18,R3.21,P1.51",6757,3597
"R1.07,R2.21,R3.55,P1.50",4260,2549
"R1.07,R2.22,R3.95,P1.50",1524,1202
"R1.07,R2.24,R3.26,P1.50",3993,2528
"R1.07,R2.26,R3.04,P1.51",290,276
"R1.07,R2.27,R3.09,P1.50",4313,2690
"R1.07,R2.27,R3.12,P1.50",5357,3014
"R1.07,R2.30,R3.11,P1.51",3459,2257
"R1.07,R2.31,R3.67,P1.51",960,824
"R1.07,R2.32,R3.38,P1.50",5523,3045
"R1.07,R2.32,R3.84,P1.50",6171,3265
"R1.07,R2.35,R3.28,P1.50",10284,4408
"R1.07,R2.36,R3.01,P1.50",6218,3316
"R1.07,R2.36,R3.32,P1.51",375,329
"R1.07,R2.38,R3.08,P1.50",4236,2524
"R1.07,R2.39,R3.44,P1.50",5420,2817
"R1.07,R2.39,R3.53,P1.50",398,371
"R1.07,R2.40,R3.57,P1.51",814,672
"R1.07,R2.41,R3.58,P1.50",6239,3382
"R1.07,R2.42,R3.34,P1.50",2750,1778
"R1.07,R2.43,R3.41,P1.51",643,564
"R1.07,R2.43,R3.50,P1.51",3021,2057
"R1.07,R2.47,R3.27,P1.51",977,825
"R1.07,R2.48,R3.32,P1.51",4772,2913
"R1.07,R2.48,R3.49,P1.51",1243,1034
"R1.07,R2.51,R3.66,P1.50",6317,3328
"R1.07,R2.52,R3.86,P1.51",1121,933
"R1.07,R2.53,R3.09,P1.50",2944,1925
"R1.07,R2.53,R3.25,P1.50",2470,1757
"R1.07,R2.54,R3.75,P1.50",14650,5271
"R1.07,R2.55,R3.42,P1.50",5378,3071
"R1.07,R2.56,R3.46,P1.50",2523,1604
"R1.07,R2.56,R3.52,P1.50",1850,1434
"R1.07,R2.57,R3.12,P1.50",2388,1494
"R1.07,R2.58,R3.24,P1.51",2882,1983
"R1.07,R2.59,R3.09,P1.50",3110,2065
"R1.07,R2.59,R3.38,P1.50",3080,1858
"R1.07,R2.61,R3.01,P1.50",3587,2252
"R1.07,R2.61,R3.43,P1.50",2314,1598
"R1.07,R2.62,R3.03,P1.50",2799,1833
"R1.07,R2.62,R3.22,P1.50",3218,2130
"R1.07,R2.63,R3.18,P1.50",10467,4448
"R1.07,R2.66,R3.80,P1.50",17444,5823
"R1.07,R2.67,R3.56,P1.51",2010,1526
"R1.07,R2.70,R3.43,P1.50",3310,2108
"R1.07,R2.71,R3.47,P1.51",832,708
"R1.07,R2.76,R3.04,P1.50",1222,922
"R1.07,R2.78,R3.71,P1.51",1357,1100
"R1.07,R2.79,R3.34,P1.51",2326,1701
"R1.07,R2.83,R3.62,P1.50",3256,2172
"R1.07,R2.87,R3.71,P1.51",216,209
"R1.07,R2.92,R3.13,P1.50",2606,1747
"R1.07,R2.93,R3.47,P1.50",3280,2149
"R1.08,R2.01,R3.25,P1.50",11893,4710
"R1.08,R2.01,R3.83,P1.50",2855,1920
"R1.08,R2.04,R3.13,P1.50",2939,1975
"R1.08,R2.07,R3.51,P1.50",2690,1887
"R1.08,R2.07,R3.55,P1.50",3167,2083
"R1.08,R2.08,R3.08,P1.50",3970,2307
"R1.08,R2.09,R3.35,P1.51",575,528
"R1.08,R2.10,R3.85,P1.51",681,604
"R1.08,R2.12,R3.42,P1.50",1630,1228
"R1.08,R2.17,R3.78,P1.50",3157,2011
"R1.08,R2.18,R3.36,P1.51",3934,2488
"R1.08,R2.18,R3.49,P1.51",1111,923
"R1.08,R2.18,R3.52,P1.50",4050,2512
"R1.08,R2.20,R3.40,P1.50",3083,1873
"R1.08,R2.20,R3.41,P1.50",4636,2767
"R1.08,R2.21,R3.26,P1.50",3761,2221
"R1.08,R2.22,R3.81,P1.50",4613,2720
"R1.08,R2.24,R3.20,P1.50",2788,1908
"R1.08,R2.25,R3.12,P1.50",11707,4759
"R1.08,R2.25,R3.73,P1.50",2855,1956
"R1.08,R2.26,R3.15,P1.50",2564,1633
"R1.08,R2.26,R3.58,P1.50",4628,2638
"R1.08,R2.26,R3.83,P1.51",2219,1661
"R1.08,R2.27,R3.50,P1.51",1307,1051
"R1.08,R2.29,R3.40,P1.50",2363,1622
"R1.08,R2.30,R3.23,P1.50",2701,1814
"R1.08,R2.33,R3.11,P1.50",3003,1751
"R1.08,R2.33,R3.28,P1.50",1613,1274
"R1.08,R2.36,R3.14,P1.50",3348,2013
"R1.08,R2.39,R3.83,P1.51",1087,927
"R1.08,R2.40,R3.52,P1.50",9946,4270
"R1.08,R2.42,R3.71,P1.50",3548,2183
"R1.08,R2.44,R3.21,P1.50",2124,1519
"R1.08,R2.46,R3.83,P1.50",3141,2029
"R1.08,R2.50,R3.46,P1.50",3115,2012
"R1.08,R2.50,R3.84,P1.51",1096,920
"R1.08,R2.51,R3.35,P1.51",1952,1442
"R1.08,R2.51,R3.43,P1.50",3969,2317
"R1.08,R2.52,R3.59,P1.50",2491,1769
"R1.08,R2.53,R3.86,P1.51",2820,1959
"R1.08,R2.58,R3.46,P1.50",7916,3752
"R1.08,R2.59,R3.57,P1.50",3053,2053
"R1.08,R2.60,R3.59,P1.51",2416,1761
"R1.08,R2.61,R3.77,P1.50",1275,1066
