cell,nCounts,nFeatures
"R1.66,R2.38,R3.64,P1.41",185,105
"R1.66,R2.38,R3.76,P1.45",166,141
"R1.66,R2.38,R3.85,P1.39",214,191
"R1.66,R2.39,R3.22,P1.39",144,97
"R1.66,R2.39,R3.35,P1.44",179,165
"R1.66,R2.39,R3.45,P1.43",202,180
"R1.66,R2.39,R3.81,P1.39",148,133
"R1.66,R2.39,R3.93,P1.40",143,93
"R1.66,R2.40,R3.38,P1.40",183,170
"R1.66,R2.41,R3.54,P1.40",144,105
"R1.66,R2.41,R3.75,P1.44",339,293
"R1.66,R2.42,R3.72,P1.40",350,286
"R1.66,R2.43,R3.12,P1.39",218,193
"R1.66,R2.43,R3.19,P1.44",219,198
"R1.66,R2.43,R3.26,P1.42",415,339
"R1.66,R2.43,R3.59,P1.43",244,196
"R1.66,R2.44,R3.26,P1.40",312,257
"R1.66,R2.44,R3.66,P1.42",178,152
"R1.66,R2.45,R3.79,P1.41",195,167
"R1.66,R2.46,R3.01,P1.40",147,103
"R1.66,R2.46,R3.11,P1.42",294,248
"R1.66,R2.46,R3.41,P1.43",258,230
"R1.66,R2.46,R3.70,P1.43",345,297
"R1.66,R2.46,R3.75,P1.41",381,315
"R1.66,R2.47,R3.15,P1.39",371,323
"R1.66,R2.47,R3.69,P1.43",277,229
"R1.66,R2.47,R3.79,P1.42",156,96
"R1.66,R2.48,R3.22,P1.39",235,189
"R1.66,R2.48,R3.27,P1.42",270,221
"R1.66,R2.48,R3.29,P1.43",271,230
"R1.66,R2.48,R3.55,P1.41",370,317
"R1.66,R2.48,R3.86,P1.40",178,154
"R1.66,R2.48,R3.95,P1.39",223,183
"R1.66,R2.49,R3.09,P1.43",426,358
"R1.66,R2.49,R3.10,P1.44",213,190
"R1.66,R2.49,R3.33,P1.42",543,455
"R1.66,R2.50,R3.03,P1.39",286,245
"R1.66,R2.50,R3.24,P1.41",172,158
"R1.66,R2.50,R3.27,P1.40",381,321
"R1.66,R2.50,R3.37,P1.43",201,173
"R1.66,R2.50,R3.79,P1.44",274,246
"R1.66,R2.50,R3.88,P1.43",414,331
"R1.66,R2.50,R3.93,P1.41",187,167
"R1.66,R2.51,R3.38,P1.44",344,295
"R1.66,R2.51,R3.54,P1.41",153,91
"R1.66,R2.51,R3.79,P1.40",193,176
"R1.66,R2.52,R3.10,P1.44",213,188
"R1.66,R2.52,R3.15,P1.41",342,199
"R1.66,R2.52,R3.56,P1.40",395,340
"R1.66,R2.53,R3.15,P1.43",130,114
"R1.66,R2.53,R3.20,P1.42",296,266
"R1.66,R2.53,R3.73,P1.45",128,119
"R1.66,R2.54,R3.02,P1.44",329,284
"R1.66,R2.54,R3.38,P1.44",183,154
"R1.66,R2.54,R3.56,P1.45",154,136
"R1.66,R2.54,R3.67,P1.44",337,295
"R1.66,R2.54,R3.86,P1.41",288,250
"R1.66,R2.55,R3.95,P1.44",176,127
"R1.66,R2.56,R3.07,P1.42",220,195
"R1.66,R2.56,R3.49,P1.40",305,248
"R1.66,R2.56,R3.60,P1.42",517,456
"R1.66,R2.56,R3.84,P1.45",180,148
"R1.66,R2.57,R3.04,P1.44",173,161
"R1.66,R2.57,R3.07,P1.40",386,319
"R1.66,R2.57,R3.07,P1.41",327,272
"R1.66,R2.57,R3.66,P1.45",141,120
"R1.66,R2.58,R3.27,P1.40",204,177
"R1.66,R2.58,R3.38,P1.40",195,171
"R1.66,R2.59,R3.19,P1.39",243,217
"R1.66,R2.59,R3.27,P1.43",342,300
"R1.66,R2.59,R3.36,P1.41",252,216
"R1.66,R2.60,R3.02,P1.41",321,272
"R1.66,R2.60,R3.05,P1.45",140,79
"R1.66,R2.60,R3.12,P1.44",467,309
"R1.66,R2.60,R3.14,P1.43",156,139
"R1.66,R2.60,R3.28,P1.44",250,219
"R1.66,R2.60,R3.49,P1.41",173,154
"R1.66,R2.60,R3.57,P1.41",339,290
"R1.66,R2.60,R3.78,P1.43",361,307
"R1.66,R2.60,R3.82,P1.41",694,550
"R1.66,R2.60,R3.88,P1.39",133,121
"R1.66,R2.60,R3.88,P1.40",232,203
"R1.66,R2.61,R3.02,P1.39",175,145
"R1.66,R2.62,R3.13,P1.42",201,168
"R1.66,R2.62,R3.17,P1.39",903,722
"R1.66,R2.63,R3.15,P1.41",542,448
"R1.66,R2.63,R3.18,P1.43",269,227
"R1.66,R2.63,R3.25,P1.40",126,115
"R1.66,R2.63,R3.54,P1.42",584,469
"R1.66,R2.63,R3.81,P1.39",123,108
"R1.66,R2.64,R3.42,P1.42",238,142
"R1.66,R2.64,R3.68,P1.41",190,165
"R1.66,R2.64,R3.73,P1.44",318,277
"R1.66,R2.64,R3.87,P1.43",222,188
"R1.66,R2.64,R3.88,P1.43",122,108
"R1.66,R2.65,R3.15,P1.44",149,98
"R1.66,R2.65,R3.22,P1.39",228,191
"R1.66,R2.65,R3.42,P1.42",355,288
"R1.66,R2.65,R3.72,P1.44",197,181
"R1.66,R2.67,R3.21,P1.39",168,144
"R1.66,R2.67,R3.40,P1.40",231,200
"R1.66,R2.67,R3.68,P1.40",171,152
"R1.66,R2.67,R3.71,P1.39",211,191
"R1.66,R2.69,R3.11,P1.43",234,207
"R1.66,R2.69,R3.31,P1.41",302,262
"R1.66,R2.69,R3.39,P1.40",328,192
"R1.66,R2.69,R3.58,P1.41",216,196
"R1.66,R2.69,R3.85,P1.43",312,261
"R1.66,R2.71,R3.12,P1.40",121,105
"R1.66,R2.71,R3.26,P1.39",237,209
"R1.66,R2.71,R3.44,P1.42",246,212
"R1.66,R2.72,R3.24,P1.42",141,126
"R1.66,R2.72,R3.26,P1.41",167,134
"R1.66,R2.72,R3.49,P1.40",323,287
"R1.66,R2.73,R3.92,P1.41",158,138
"R1.66,R2.73,R3.94,P1.40",135,123
"R1.66,R2.74,R3.21,P1.41",533,454
"R1.66,R2.74,R3.81,P1.42",162,152
