cell,nCounts,nFeatures
"R1.85,R2.25,R3.18,P1.34",712,691
"R1.88,R2.25,R3.16,P1.37",391,385
"R1.83,R2.17,R3.12,P1.31",183,183
"R1.93,R2.06,R3.28,P1.37",290,288
"R1.84,R2.41,R3.32,P1.31",289,288
"R1.82,R2.29,R3.27,P1.33",174,174
"R1.91,R2.02,R3.11,P1.37",455,450
"R1.72,R2.49,R3.73,P1.33",396,391
"R1.90,R2.81,R3.81,P1.33",270,267
"R1.74,R2.69,R3.78,P1.31",508,503
"R1.94,R2.44,R3.34,P1.35",824,788
"R1.93,R2.43,R3.94,P1.35",259,257
"R1.69,R2.47,R3.39,P1.34",607,593
"R1.93,R2.16,R3.29,P1.35",603,590
"R1.89,R2.34,R3.47,P1.34",715,700
"R1.85,R2.28,R3.48,P1.37",250,248
"R1.88,R2.10,R3.25,P1.34",147,146
"R1.87,R2.41,R3.78,P1.35",475,463
"R1.93,R2.13,R3.42,P1.37",237,234
"R1.90,R2.69,R3.47,P1.33",406,402
"R1.73,R2.74,R3.43,P1.33",524,516
"R1.76,R2.06,R3.93,P1.33",472,467
"R1.87,R2.43,R3.30,P1.34",366,360
"R1.77,R2.05,R3.68,P1.37",474,470
"R1.84,R2.04,R3.27,P1.31",192,190
"R1.78,R2.92,R3.36,P1.36",245,243
"R1.67,R2.09,R3.47,P1.33",1115,1087
"R1.70,R2.54,R3.31,P1.36",629,618
"R1.88,R2.13,R3.18,P1.34",187,187
"R1.89,R2.63,R3.37,P1.34",347,343
"R1.85,R2.43,R3.59,P1.33",268,266
"R1.94,R2.27,R3.94,P1.34",291,287
"R1.91,R2.71,R3.55,P1.31",218,215
"R1.81,R2.14,R3.80,P1.34",313,310
"R1.75,R2.71,R3.70,P1.36",811,778
